id,year,report,sector,industry,company,sentence,label,rel_B,conf_B,keywords_B,rationale_B,raw_B
2243,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Through an online survey, 3M suppliers can provide complete supply chain information all the way to the forest sources, or they can easily forward parts of the online survey to their suppliers paper or pulp mills, for example for completion.",,Yes,0.85,suppliers|supply chain|forest sources|paper or pulp mills|online survey,"The sentence describes a supply chain transparency initiative specifically focused on tracing materials back to forest sources, which directly addresses environmental sustainability (deforestation, sustainable sourcing) and supply chain governance aspects of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""suppliers"", ""supply chain"", ""forest sources"", ""paper or pulp mills"", ""online survey""], ""rationale"": ""The sentence describes a supply chain transparency initiative specifically focused on tracing materials back to forest sources, which directly addresses environmental sustainability (deforestation, sustainable sourcing) and supply chain governance aspects of ESG.""}"
19294,2020,Novartis_2020_ESG,Manufacturing,Pharmaceutical,Novartis,Novartis invested in two pilot projects to support these efforts in 2020.,,No,0.85,pilot projects|invested|support|efforts,"The sentence mentions investment in pilot projects but lacks any specific ESG context about what those projects address, making it too vague to determine material ESG relevance.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""pilot projects"", ""invested"", ""support"", ""efforts""], ""rationale"": ""The sentence mentions investment in pilot projects but lacks any specific ESG context about what those projects address, making it too vague to determine material ESG relevance.""}"
1395,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"In 2019, we launched 10 data science and eight digitization functional learning paths, leading to over 3,800 completions.",,No,0.85,data science|digitization|learning paths|completions,"The sentence describes employee training programs in technical skills (data science and digitization), which could be tangentially related to workforce development under Social factors, but it lacks explicit ESG context such as diversity, equity, upskilling for underserved groups, or broader social impact, making it more of a generic corporate training update.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""data science"", ""digitization"", ""learning paths"", ""completions""], ""rationale"": ""The sentence describes employee training programs in technical skills (data science and digitization), which could be tangentially related to workforce development under Social factors, but it lacks explicit ESG context such as diversity, equity, upskilling for underserved groups, or broader social impact, making it more of a generic corporate training update.""}"
5226,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"Health, wealth, wellness, and resilience create a framework for a collection of programs, resources, and services designed to help employees and their families achieve their well-being goals.",,Yes,0.85,well-being|employees|families|wellness|resilience,"The sentence directly addresses employee well-being programs, which falls under the Social (S) pillar of ESG, specifically focusing on employee health, wellness, and family support.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""well-being"", ""employees"", ""families"", ""wellness"", ""resilience""], ""rationale"": ""The sentence directly addresses employee well-being programs, which falls under the Social (S) pillar of ESG, specifically focusing on employee health, wellness, and family support.""}"
9154,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"By collaborating with supply chain partners, they can achieve low-carbon value creation and ultimately realize the benefits of overall value chain innovation and upgrading.",,Yes,0.95,low-carbon|value creation|supply chain partners|value chain|innovation,"The sentence explicitly addresses environmental sustainability through 'low-carbon value creation' and discusses collaborative ESG action with supply chain partners, which falls under both Environmental and Social dimensions of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""low-carbon"", ""value creation"", ""supply chain partners"", ""value chain"", ""innovation""], ""rationale"": ""The sentence explicitly addresses environmental sustainability through 'low-carbon value creation' and discusses collaborative ESG action with supply chain partners, which falls under both Environmental and Social dimensions of ESG.""}"
11240,2022,AcBel Polytech_2022_ESG,Manufacturing,Capital Goods,AcBel Polytech,"Remuneration packages at AcBel are designed based on the responsibilities and requirements of different positions, and it does not discriminate based on gender.",,Yes,0.85,remuneration packages|does not discriminate|gender,"The sentence addresses Social (S) aspects by explicitly stating non-discrimination based on gender in compensation practices, which relates to diversity, equity, and fair employment practices.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""remuneration packages"", ""does not discriminate"", ""gender""], ""rationale"": ""The sentence addresses Social (S) aspects by explicitly stating non-discrimination based on gender in compensation practices, which relates to diversity, equity, and fair employment practices.""}"
1393,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"Develop U provides access to tens of thousands of unique, just-in-time learning resources in over 15 languages, allowing 3M s global workforce to engage in employee development.",,Yes,0.85,employee development|global workforce|learning resources|engage,"The sentence addresses employee development and workforce engagement through accessible learning resources, which falls under the Social (S) pillar of ESG concerning human capital development and employee training.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""employee development"", ""global workforce"", ""learning resources"", ""engage""], ""rationale"": ""The sentence addresses employee development and workforce engagement through accessible learning resources, which falls under the Social (S) pillar of ESG concerning human capital development and employee training.""}"
17055,2023,Ford_2023_ESG,Manufacturing,Automobiles and Components,Ford,Function Areas Sustainability and Vehicle Environmental Matters Coordinates our Company-wide sustainability strategy and activities Leads our sustainability reporting and stakeholder engagement Collaborates with other functional areas and skill teams to integrate sustainability throughout the Company.,,Yes,0.95,sustainability strategy|environmental matters|sustainability reporting|stakeholder engagement|integrate sustainability,"The sentence explicitly describes organizational functions dedicated to sustainability strategy, environmental matters, reporting, and stakeholder engagement, which are core ESG activities.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""sustainability strategy"", ""environmental matters"", ""sustainability reporting"", ""stakeholder engagement"", ""integrate sustainability""], ""rationale"": ""The sentence explicitly describes organizational functions dedicated to sustainability strategy, environmental matters, reporting, and stakeholder engagement, which are core ESG activities.""}"
4691,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,"We successfully evolved our in-person training to a virtual environment, reaching approximately 25K employees.",,Yes,0.85,training|employees|virtual environment|25K,"The sentence describes workforce development and training accessibility for a large number of employees, which falls under Social (S) aspects of ESG related to employee development and workplace adaptation.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""training"", ""employees"", ""virtual environment"", ""25K""], ""rationale"": ""The sentence describes workforce development and training accessibility for a large number of employees, which falls under Social (S) aspects of ESG related to employee development and workplace adaptation.""}"
20544,2022,TSMC_2022_TCFD,Manufacturing,UNKNOWN,TSMC,"Risk mitigations are supervised by the Risk Management Steering Committee, which reports progress to the Board.",,Yes,0.85,Risk Management Steering Committee|Board|supervised|reports progress,"This sentence describes governance structures for risk oversight, specifically the committee responsible for supervising risk mitigations and its reporting relationship to the Board, which falls under Governance (G) aspects of ESG.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""Risk Management Steering Committee"", ""Board"", ""supervised"", ""reports progress""], ""rationale"": ""This sentence describes governance structures for risk oversight, specifically the committee responsible for supervising risk mitigations and its reporting relationship to the Board, which falls under Governance (G) aspects of ESG.""}"
15920,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,The level of environmental provision is based on management s best estimate of the most likely outcome for each individual exposure.,,Yes,0.85,environmental provision|management's best estimate|exposure,"The sentence directly addresses environmental financial provisions, which is a concrete Environmental (E) aspect related to accounting for environmental liabilities and risks.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""environmental provision"", ""management's best estimate"", ""exposure""], ""rationale"": ""The sentence directly addresses environmental financial provisions, which is a concrete Environmental (E) aspect related to accounting for environmental liabilities and risks.""}"
1987,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"3M s Annual Report on Form 10-K, Item 1A outlines risk factors applicable to the company.",,No,0.85,risk factors|Annual Report|Form 10-K|Item 1A,"The sentence describes a standard regulatory disclosure section about general business risks without specifying any ESG-related risks, making it a generic financial reporting statement rather than a material ESG disclosure.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""risk factors"", ""Annual Report"", ""Form 10-K"", ""Item 1A""], ""rationale"": ""The sentence describes a standard regulatory disclosure section about general business risks without specifying any ESG-related risks, making it a generic financial reporting statement rather than a material ESG disclosure.""}"
7427,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Raising Awareness of Information Security of the Personnel Annual Requisition of All Personnel to Sign an Information Security Declaration Annual Performance of Information Security Simulation Exercises and Strengthening Information Security Awareness Monthly Informational E-newsletter Providing Information Security Information Advising and Supervising the Employees to Follow the Company's Information Security Policy Regular Arrangement of Online Information Safety Training for New Employees Aperiodic Physical Education Training on Information Security-related Topics.,,Yes,0.95,Information Security|Information Security Policy|Information Safety Training|Information Security Awareness|Supervising the Employees,"The sentence describes comprehensive information security training, awareness programs, and policy enforcement for employees, which directly addresses Social (S) aspects related to data protection, employee training, and organizational responsibility for safeguarding information.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Information Security"", ""Information Security Policy"", ""Information Safety Training"", ""Information Security Awareness"", ""Supervising the Employees""], ""rationale"": ""The sentence describes comprehensive information security training, awareness programs, and policy enforcement for employees, which directly addresses Social (S) aspects related to data protection, employee training, and organizational responsibility for safeguarding information.""}"
14181,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Increasing the maximum annual bonus headroom to 200% of base salary to provide some additional flexibility but only in exceptional circumstances of recruitment.,,Yes,0.85,bonus|salary|recruitment|flexibility|exceptional circumstances,"The sentence addresses executive compensation structure and recruitment incentives, which are core Governance (G) topics related to remuneration policies and talent management.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""bonus"", ""salary"", ""recruitment"", ""flexibility"", ""exceptional circumstances""], ""rationale"": ""The sentence addresses executive compensation structure and recruitment incentives, which are core Governance (G) topics related to remuneration policies and talent management.""}"
4477,2021,3M_2021_ESG,Manufacturing,Capital Goods,3M,Develops and monitors adherence with strong sustainability-related policies and procedures.,,Yes,0.95,sustainability-related policies|monitors adherence|strong sustainability,"The sentence explicitly addresses the development and monitoring of sustainability policies, which is a core governance mechanism for managing environmental and social impacts.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""sustainability-related policies"", ""monitors adherence"", ""strong sustainability""], ""rationale"": ""The sentence explicitly addresses the development and monitoring of sustainability policies, which is a core governance mechanism for managing environmental and social impacts.""}"
1424,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"All our people globally, at every level of the 3M organization, are provided with opportunities to develop themselves as leaders.",,Yes,0.85,people|opportunities|develop|leaders,"The sentence addresses employee development and leadership opportunities, which falls under the Social (S) pillar of ESG, specifically related to human capital development and talent management.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""people"", ""opportunities"", ""develop"", ""leaders""], ""rationale"": ""The sentence addresses employee development and leadership opportunities, which falls under the Social (S) pillar of ESG, specifically related to human capital development and talent management.""}"
8193,2021,AcBel Polytech_2021_ESG,Manufacturing,Capital Goods,AcBel Polytech,Risk Management Human Rights Protection Low-carbon and Environmental Protection Health Safety.,,Yes,0.95,Human Rights Protection|Low-carbon|Environmental Protection|Health Safety,"The sentence explicitly lists multiple ESG topics including human rights (Social), low-carbon and environmental protection (Environmental), and health safety (Social), making it clearly relevant to ESG.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""Human Rights Protection"", ""Low-carbon"", ""Environmental Protection"", ""Health Safety""], ""rationale"": ""The sentence explicitly lists multiple ESG topics including human rights (Social), low-carbon and environmental protection (Environmental), and health safety (Social), making it clearly relevant to ESG.""}"
2168,2020,3M_2020_ESG,Manufacturing,Capital Goods,3M,"This includes our use of certain minerals with the potential to be sourced from conflict-affected and high-risk areas, our use of timberbased products and other plant materials pulp and paper , and all new suppliers in higher-risk countries, in areas such as Asia Pacific, Latin America, or parts of the Europe, Middle East, and Africa regions.",,Yes,0.95,conflict-affected|high-risk areas|timberbased products|plant materials|higher-risk countries,"The sentence directly addresses supply chain due diligence for conflict minerals and sustainable sourcing of forest products, which are material Social (human rights) and Environmental (sustainable forestry) ESG topics.","{""relevance"": ""Yes"", ""confidence"": 0.95, ""keywords"": [""conflict-affected"", ""high-risk areas"", ""timberbased products"", ""plant materials"", ""higher-risk countries""], ""rationale"": ""The sentence directly addresses supply chain due diligence for conflict minerals and sustainable sourcing of forest products, which are material Social (human rights) and Environmental (sustainable forestry) ESG topics.""}"
13023,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,Develop dashboards to next level of detail to make metrics and targets more transparent at regional and sector levels in addition to Board and Executive level reports.,,Yes,0.85,transparent|metrics|targets|Board|Executive,"The sentence describes enhancing transparency of metrics and targets through detailed dashboards and reporting to the Board and Executive level, which directly relates to governance (G) aspects of accountability, oversight, and disclosure.","{""relevance"": ""Yes"", ""confidence"": 0.85, ""keywords"": [""transparent"", ""metrics"", ""targets"", ""Board"", ""Executive""], ""rationale"": ""The sentence describes enhancing transparency of metrics and targets through detailed dashboards and reporting to the Board and Executive level, which directly relates to governance (G) aspects of accountability, oversight, and disclosure.""}"
12489,2022,Croda International_2022_ESG,Manufacturing,Chemicals,Croda International,"This is creating significant growth opportunities, with commercial sales in multiple field crops and vegetables already secured.",,No,0.85,growth opportunities|commercial sales|field crops|vegetables|secured,"The sentence describes business growth and commercial achievements in agricultural products but lacks any explicit mention of environmental impacts, social considerations, or governance practices that would make it materially relevant to ESG topics.","{""relevance"": ""No"", ""confidence"": 0.85, ""keywords"": [""growth opportunities"", ""commercial sales"", ""field crops"", ""vegetables"", ""secured""], ""rationale"": ""The sentence describes business growth and commercial achievements in agricultural products but lacks any explicit mention of environmental impacts, social considerations, or governance practices that would make it materially relevant to ESG topics.""}"
